"","Date","Age","pCO2","Chamber_tank","N","resp_umol_hr_bFactorNormLength.MEAN","sd","se","ci"
"1","10/26/2021",92,"500 uatm","8_A",2,0.455168550180966,0.00514850316208261,0.003640541498869,0.0462574656351698
"2","10/26/2021",92,"500 uatm","8_B",2,0.446845594615701,0.140992402414856,0.099696683843327,1.26676647643099
"3","10/26/2021",92,"500 uatm","8_C",2,0.337470863662991,0.100337656202281,0.0709494371089975,0.901498073823272
"4","10/26/2021",92,"500 uatm","8_D",2,0.379746282366809,0.067713165540291,0.047880438529147,0.608378654809169
"5","10/26/2021",92,"800 uatm","7.5_A",2,0.629378223791709,0.329125848013257,0.232727118993947,2.95707842159718
"6","10/26/2021",92,"800 uatm","7.5_B",1,0.889282580801814,NA,NA,NA
"7","10/26/2021",92,"800 uatm","7.5_C",2,0.256555842904882,0.125871737950957,0.0890047594648575,1.13091269625446
"8","10/26/2021",92,"800 uatm","7.5_D",1,0.909917207470793,NA,NA,NA
"9","10/26/2022",457,"500 uatm","8_A",1,0.403362429473961,NA,NA,NA
"10","10/26/2022",457,"500 uatm","8_C",1,1.17180477180897,NA,NA,NA
"11","10/26/2022",457,"500 uatm","8_D",1,0.323878484515853,NA,NA,NA
"12","10/26/2022",457,"500 uatm","8_E",1,0.955303687610796,NA,NA,NA
"13","10/26/2022",457,"500 uatm","8_F",1,0.707918305784778,NA,NA,NA
"14","10/26/2022",457,"500 uatm","8_G",1,1.78898263429128,NA,NA,NA
"15","10/26/2022",457,"800 uatm","7.5_A",1,0.450124042550088,NA,NA,NA
"16","10/26/2022",457,"800 uatm","7.5_B",1,0.736066851131766,NA,NA,NA
"17","10/26/2022",457,"800 uatm","7.5_C",1,2.99077131943738,NA,NA,NA
"18","10/26/2022",457,"800 uatm","7.5_D",1,2.80491857754469,NA,NA,NA
"19","10/26/2022",457,"800 uatm","7.5_E",1,0.874682538605489,NA,NA,NA
"20","10/26/2022",457,"800 uatm","7.5_F",1,0.308035080624778,NA,NA,NA
"21","10/26/2022",457,"800 uatm","7.5_G",1,2.02930185291783,NA,NA,NA
"22","2/2/2022",191,"500 uatm","8_A",1,3.770749112444,NA,NA,NA
"23","2/2/2022",191,"500 uatm","8_B",1,1.68484958614537,NA,NA,NA
"24","2/2/2022",191,"500 uatm","8_C",2,2.57811324575308,0.322446763258488,0.22800429287173,2.89706922595494
"25","2/2/2022",191,"500 uatm","8_D",1,0.97724237881566,NA,NA,NA
"26","2/2/2022",191,"500 uatm","8_E",1,3.71631466118295,NA,NA,NA
"27","2/2/2022",191,"500 uatm","8_F",1,3.04083041962151,NA,NA,NA
"28","2/2/2022",191,"500 uatm","8_G",1,2.20022026321128,NA,NA,NA
"29","2/2/2022",191,"500 uatm","8_H",1,2.11586779494538,NA,NA,NA
"30","2/2/2022",191,"800 uatm","7.5_A",1,3.69572178296976,NA,NA,NA
"31","2/2/2022",191,"800 uatm","7.5_B",1,3.59345805041186,NA,NA,NA
"32","2/2/2022",191,"800 uatm","7.5_C",2,2.11300153615545,0.247252240943381,0.174833736234635,2.22147324738764
"33","2/2/2022",191,"800 uatm","7.5_D",1,0.754164600524295,NA,NA,NA
"34","2/2/2022",191,"800 uatm","7.5_E",1,2.86620655199481,NA,NA,NA
"35","2/2/2022",191,"800 uatm","7.5_F",1,2.25550636805886,NA,NA,NA
"36","2/2/2022",191,"800 uatm","7.5_G",1,2.83718905958745,NA,NA,NA
"37","2/2/2022",191,"800 uatm","7.5_H",1,2.21281408667866,NA,NA,NA
"38","3/1/2022",218,"500 uatm","8_A",1,0.416426020646626,NA,NA,NA
"39","3/1/2022",218,"500 uatm","8_B",1,1.36052733262939,NA,NA,NA
"40","3/1/2022",218,"500 uatm","8_C",1,3.58285419809286,NA,NA,NA
"41","3/1/2022",218,"500 uatm","8_D",1,2.38899971870579,NA,NA,NA
"42","3/1/2022",218,"500 uatm","8_E",2,2.12271807217462,2.72759562563449,1.92870136322091,24.5064743960242
"43","3/1/2022",218,"500 uatm","8_F",1,3.27400880185245,NA,NA,NA
"44","3/1/2022",218,"500 uatm","8_G",1,1.07801974069459,NA,NA,NA
"45","3/1/2022",218,"500 uatm","8_H",1,2.74292438393871,NA,NA,NA
"46","3/1/2022",218,"800 uatm","7.5_A",1,3.55435517899308,NA,NA,NA
"47","3/1/2022",218,"800 uatm","7.5_B",2,1.82368067883502,0.851352982773329,0.601997467302415,7.64910307020312
"48","3/1/2022",218,"800 uatm","7.5_C",1,3.18360853480383,NA,NA,NA
"49","3/1/2022",218,"800 uatm","7.5_D",1,4.1300725423147,NA,NA,NA
"50","3/1/2022",218,"800 uatm","7.5_E",1,3.87987916204867,NA,NA,NA
"51","3/1/2022",218,"800 uatm","7.5_F",1,4.61157339322857,NA,NA,NA
"52","3/1/2022",218,"800 uatm","7.5_G",1,2.49018109713075,NA,NA,NA
"53","3/1/2022",218,"800 uatm","7.5_H",1,5.77608889868023,NA,NA,NA
"54","9/14/2021",50,"500 uatm","8_A",2,5.72149108157105,3.81786542726373,2.69963853327586,34.3021599174694
"55","9/14/2021",50,"500 uatm","8_B",3,6.72086165268855,2.50128744319556,1.44411897864959,6.21354246556965
"56","9/14/2021",50,"500 uatm","8_C",3,2.88228832076938,0.513633735534133,0.296546575475505,1.27593693246754
"57","9/14/2021",50,"500 uatm","8_D",1,4.51943137591103,NA,NA,NA
"58","9/14/2021",50,"800 uatm","7.5_A",3,4.13933724818395,2.07579934114265,1.19846330839236,5.15657142535894
"59","9/14/2021",50,"800 uatm","7.5_B",3,6.14639265638322,0.601568771303448,0.347315892048118,1.49437967100621
"60","9/14/2021",50,"800 uatm","7.5_C",3,2.16796258078188,0.796856589156424,0.460065366254988,1.97950150398021
"61","9/14/2021",50,"800 uatm","7.5_D",3,2.92148215145003,2.03764850530592,1.17643691305221,5.06179949532213
"62","9/22/2022",423,"500 uatm","8_A",3,2.03267514007616,0.856396274301903,0.494440619501196,2.12740628119584
"63","9/22/2022",423,"500 uatm","8_B",2,1.38015917892819,0.167347820151249,0.118332778445735,1.50356050993191
"64","9/22/2022",423,"500 uatm","8_C",1,1.39610807209768,NA,NA,NA
"65","9/22/2022",423,"500 uatm","8_D",1,1.36045826317225,NA,NA,NA
"66","9/22/2022",423,"800 uatm","7.5_A",2,2.17694195798004,0.478908175108274,0.338639218184735,4.30281923795337
"67","9/22/2022",423,"800 uatm","7.5_B",2,2.10074695405511,0.969354914863954,0.68543743367681,8.70930836613571
"68","9/22/2022",423,"800 uatm","7.5_C",2,1.63084165010842,0.552273522806981,0.3905163530466,4.96198073463438
"69","9/22/2022",423,"800 uatm","7.5_D",1,1.81613065830649,NA,NA,NA
"70","9/30/2021",66,"500 uatm","8_A",5,2.97911513745918,1.17103245597119,0.523701635082024,1.45402884130757
"71","9/30/2021",66,"500 uatm","8_B",5,2.57498582561501,1.0711093098435,0.479014645628589,1.32995786817355
"72","9/30/2021",66,"500 uatm","8_C",5,1.77807588091603,1.72991469330425,0.773641369900802,2.1479727946396
"73","9/30/2021",66,"500 uatm","8_D",5,2.06237828503389,1.42383705012412,0.636759286592063,1.76792720444777
"74","9/30/2021",66,"800 uatm","7.5_A",4,2.79908315197644,1.42571379676148,0.712856898380741,2.26862880244779
"75","9/30/2021",66,"800 uatm","7.5_B",4,1.79135273146859,0.379173711195971,0.189586855597986,0.603349988128165
"76","9/30/2021",66,"800 uatm","7.5_C",5,4.24567366543253,2.87634176163344,1.28633914110677,3.57145001195024
"77","9/30/2021",66,"800 uatm","7.5_D",5,3.59280526536217,1.58504267372335,0.708852633136684,1.96809042357891
